Fiscal Year,Service,Department Name,Division Name,Category,Description,Amount,Fund
2011,Public Safety,Animal Commission,Administration,Other Ordinary Maintenance,Energy,2725.00,General Fund
2011,Public Safety,Animal Commission,Administration,Other Ordinary Maintenance,Professional and Technical Services,3695.00,General Fund
2011,Public Safety,Animal Commission,Administration,Other Ordinary Maintenance,Repairs and Maint - Supplies,1600.00,General Fund
2011,Public Safety,Animal Commission,Administration,Travel and Training,Dues & Subscriptions,150.00,General Fund
2011,Public Safety,Electrical,Administration,Salaries and Wages,Dental Insurance,17410.00,General Fund
2011,Public Safety,Electrical,Administration,Salaries and Wages,Health Insurance,263490.00,General Fund
2011,Public Safety,Electrical,Administration,Salaries and Wages,Longevity Salaries\Wages,4000.00,General Fund
2011,Public Safety,Electrical,Administration,Salaries and Wages,Medicare,8885.00,General Fund
2011,Public Safety,Electrical,Administration,Salaries and Wages,Misc. Additional Comp,9800.00,General Fund
2011,Public Safety,Electrical,Administration,Salaries and Wages,Overtime Salaries/Wages,125000.00,General Fund
2011,Public Safety,Electrical,Administration,Salaries and Wages,Pensions,110500.00,General Fund
2011,Public Safety,Electrical,Administration,Salaries and Wages,Permanent Salaries/Wages,853175.00,General Fund
2011,Public Safety,Electrical,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,6575.00,General Fund
2011,Public Safety,Electrical,Administration,Other Ordinary Maintenance,Communication,3000.00,General Fund
2011,Public Safety,Electrical,Administration,Other Ordinary Maintenance,Energy,1056965.00,General Fund
2011,Public Safety,Electrical,Administration,Other Ordinary Maintenance,Other Purchased Services,3000.00,General Fund
2011,Public Safety,Electrical,Administration,Other Ordinary Maintenance,Other Supplies,4500.00,General Fund
2011,Public Safety,Electrical,Administration,Other Ordinary Maintenance,Repairs and Maint - Services,6490.00,General Fund
2011,Public Safety,Electrical,Administration,Other Ordinary Maintenance,Repairs and Maint - Supplies,198930.00,General Fund
2011,Public Safety,Electrical,Administration,Other Ordinary Maintenance,Vehicle Supplies,7000.00,General Fund
2011,Public Safety,Electrical,Administration,Travel and Training,Dues & Subscriptions,570.00,General Fund
2011,Public Safety,Electrical,Administration,Travel and Training,Judgments,500.00,General Fund
2011,Public Safety,Electrical,Administration,Travel and Training,Travel and Training  (Out of State),600.00,General Fund
2011,Public Safety,Electrical,Administration,Extraordinary Expenditures,Additional Equipment,25000.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Salaries and Wages,Dental Insurance,49860.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Salaries and Wages,Health Insurance,609330.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Salaries and Wages,Longevity Salaries\Wages,1600.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Salaries and Wages,Medicare,33355.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Salaries and Wages,Misc. Additional Comp,30425.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Salaries and Wages,Overtime Salaries/Wages,387000.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Salaries and Wages,Pensions,323000.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Salaries and Wages,Permanent Salaries/Wages,2402040.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Salaries and Wages,Temporary Salaries/Wages,14195.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,11500.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Communication,40300.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Educational Supplies,1000.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Food and Food Service Supplies,500.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Other Purchased Services,4000.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Other Supplies,12510.00,General Fund
2011,Public Safety,Police,Support Services,Salaries and Wages,Misc. Additional Comp,66975.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Professional and Technical Services,5500.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Rentals and Leases,2000.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Repairs and Maint - Services,69400.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Other Ordinary Maintenance,Repairs and Maint - Supplies,1500.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Travel and Training,Dues & Subscriptions,2000.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Travel and Training,Travel and Training  (Out of State),5000.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Travel and Training,Travel and Training  (In State),8850.00,General Fund
2011,Public Safety,Emergency Communications,Administration,Extraordinary Expenditures,Additional Equipment,4000.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Salaries and Wages,Dental Insurance,333650.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Salaries and Wages,Health Insurance,5429660.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Salaries and Wages,Longevity Salaries\Wages,2103675.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Salaries and Wages,Misc. Additional Comp,2963255.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Salaries and Wages,Overtime Salaries/Wages,1432350.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Salaries and Wages,Pensions,5067970.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Salaries and Wages,Permanent Salaries/Wages,18756785.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Salaries and Wages,Temporary Salaries/Wages,25000.00,General Fund
2011,Public Safety,License Commission,License Commission,Salaries and Wages,Pensions,68000.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Administration & Gen Supplies,18000.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Communication,20000.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Educational Supplies,500.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Energy,505290.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Food and Food Service Supplies,10605.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Medical Supplies,32410.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Other Property Related Services,2000.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Other Purchased Services,5540.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Other Supplies,63315.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Professional and Technical Services,4100.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Rentals and Leases,157800.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Repairs and Maint - Services,66005.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Repairs and Maint - Supplies,91385.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Other Ordinary Maintenance,Vehicle Supplies,128275.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Travel and Training,Dues & Subscriptions,18500.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Travel and Training,Judgments,400000.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Travel and Training,Travel and Training  (Out of State),5000.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Travel and Training,Travel and Training  (In State),50000.00,General Fund
2011,Public Safety,Fire,Headquarters & Fire Stations,Extraordinary Expenditures,Additional Equipment,110000.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Salaries and Wages,Dental Insurance,32590.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Salaries and Wages,Health Insurance,541400.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Salaries and Wages,Longevity Salaries\Wages,5750.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Salaries and Wages,Medicare,19150.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Salaries and Wages,Misc. Additional Comp,18775.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Salaries and Wages,Overtime Salaries/Wages,34500.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Salaries and Wages,Pensions,229500.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Salaries and Wages,Permanent Salaries/Wages,1786545.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Other Ordinary Maintenance,Administration & Gen Supplies,12800.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Other Ordinary Maintenance,Communication,26700.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Other Ordinary Maintenance,Energy,2345.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Other Ordinary Maintenance,Food and Food Service Supplies,1000.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Other Ordinary Maintenance,Other Purchased Services,20000.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Other Ordinary Maintenance,Other Supplies,37955.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Other Ordinary Maintenance,Professional and Technical Services,20000.00,General Fund
2011,Public Safety,Inspectional Services,Inspectional Services,Other Ordinary Maintenance,Repairs and Maint - Services,2600.00,General Fund
